Strain	Rep	Block	Tube	per.10ml	logged
DC3000	3	25	3	2466666.667	6.392110465
japonica	1	2	1	293333.3333	5.467361417
japonica	1	2	2	273333.3333	5.436692598
japonica	1	2	3	133333.3333	5.124938737
japonica	2	5	1	3133333.333	6.496006599
japonica	2	5	2	2866666.667	6.457377197
japonica	2	5	3	1400000	6.146128036
japonica	3	29	1	706666.6667	5.849214606
japonica	3	29	2	140000	5.146128036
japonica	3	29	3	340000	5.531478917
maculicola	1	16	1	1200000	6.079181246
maculicola	1	16	2	280000	5.447158031
maculicola	1	16	3	193333.3333	5.286306739
maculicola	2	17	1	3133333.333	6.496006599
maculicola	2	17	2	4000000	6.602059991
maculicola	2	17	3	3400000	6.531478917
maculicola	3	18	1	460000	5.662757832
maculicola	3	18	2	NA	NA
maculicola	3	18	3	18000000	7.255272505
pisi	1	4	1	1733333.333	6.238882089
pisi	1	4	2	1146666.667	6.059437188
pisi	1	4	3	3400000	6.531478917
pisi	2	6	1	128666.6667	5.10946605
pisi	2	6	2	2266666.667	6.355387658
pisi	2	6	3	273333.3333	5.436692598
pisi	3	30	1	1320000	6.120573931
pisi	3	30	2	386666.6667	5.587336735
pisi	3	30	3	960000	5.982271233
TLP2	1	2	1	546666.6667	5.737722593
TLP2	1	2	2	326666.6667	5.514104821
TLP2	1	2	3	400000	5.602059991
TLP2	2	6	1	1686666.667	6.227029262
TLP2	2	6	2	2700000	6.431363764
TLP2	2	6	3	3066666.667	6.486666573
TLP2	4	26	1	873333.3333	5.941180037
TLP2	4	26	2	2133333.333	6.329058719
TLP2	4	26	3	1020000	6.008600172
UB303	2	26	1	1133333.333	6.054357662
UB303	2	26	2	1533333.333	6.185636577
UB303	2	26	3	17333333.33	7.238882089
UB303	3	27	1	933333.3333	5.970036777
UB303	3	27	2	1200000	6.079181246
UB303	3	27	3	500000	5.698970004
UB303	4	31	1	1266666.667	6.102662342
UB303	4	31	2	1106666.667	6.044016829
UB303	4	31	3	1133333.333	6.054357662
USA011	1	19	1	3733333.333	6.572096768
USA011	1	19	2	7466666.667	6.873126764
USA011	1	19	3	16666666.67	7.22184875
USA011	2	20	1	26000000	7.414973348
USA011	2	20	2	32000000	7.505149978
USA011	2	20	3	30000000	7.477121255
USA011	3	22	1	34000000	7.531478917
USA011	3	22	2	25333333.33	7.403692338
USA011	3	22	3	37333333.33	7.572096768
UB246	1	26	1	993333.3333	5.997095009
UB246	1	26	2	1533333.333	6.185636577
UB246	1	26	3	4533333.333	6.656417654
UB246	2	27	1	3266666.667	6.514104821
UB246	2	27	2	7133333.333	6.853292519
UB246	2	27	3	4066666.667	6.609238576
UB246	3	28	1	18200000	7.260071388
UB246	3	28	2	9600000	6.982271233
UB246	3	28	3	9400000	6.973127854
